,Name,mfg_num,lrv,rgb,category,hexcode
0,Cottage White,13,LRV 82,"['R 243', 'G 233', 'B 214']",White color family,background-color:#F3E9D6;
1,Navajo White,22,LRV 74,"['R 235', 'G 222', 'B 196']",White color family,background-color:#EBDEC4;
2,Antique White,23,LRV 73,"['R 232', 'G 221', 'B 202']",White color family,background-color:#E8DDCA;
3,Burnt Almond,280F-4,LRV 33,"['R 181', 'G 149', 'B 120']",Orange color family,background-color:#B59578;
4,Toffee Crunch,700D-5,LRV 26,"['R 159', 'G 136', 'B 112']",,background-color:#9F8870;
5,Harvest Brown,710D-4,LRV 39,"['R 185', 'G 165', 'B 137']",Neutral color family,background-color:#B9A589;
6,Rhino,7.10E-01,LRV 53,"['R 189', 'G 194', 'B 185']",Gray color family,background-color:#BDC2B9;
7,Sage Gray,710F-4,LRV 36,"['R 158', 'G 164', 'B 157']",Gray color family,background-color:#9EA49D;
8,Wheat Bread,720C-3,LRV 56,"['R 205', 'G 196', 'B 183']",Neutral color family,background-color:#CDC4B7;
9,Mocha Accent,720D-5,LRV 23,"['R 141', 'G 129', 'B 113']",Neutral color family,background-color:#8D8171;
10,Off White,73,LRV 76,"['R 231', 'G 226', 'B 210']",White color family,background-color:#E7E2D2;
11,Garden Wall,730D-4,LRV 38,"['R 174', 'G 164', 'B 146']",Neutral color family,background-color:#AEA492;
12,Dark Storm Cloud,740F-4,LRV 27,"['R 129', 'G 144', 'B 148']",Gray color family,background-color:#819094;
13,Sandstone Cliff,750C-3,LRV 59,"['R 210', 'G 201', 'B 183']",Neutral color family,background-color:#D2C9B7;
14,Dark Ash,770F-5,LRV 15,"['R 106', 'G 109', 'B 109']",Gray color family,background-color:#6A6D6D;
15,Sterling,7.80E-01,LRV 65,"['R 209', 'G 212', 'B 209']",,background-color:#D1D4D1;
16,Sparrow,780F-4,LRV 44,"['R 177', 'G 176', 'B 175']",Gray color family,background-color:#B1B0AF;
17,Dolphin Fin,790C-3,LRV 59,"['R 204', 'G 202', 'B 193']",Gray color family,background-color:#CCCAC1;
18,Granite Boulder,790D-4,LRV 42,"['R 177', 'G 174', 'B 162']",Gray color family,background-color:#B1AEA2;
19,Creek Bend,790F-4,LRV 27,"['R 146', 'G 140', 'B 135']",Gray color family,background-color:#928C87;
20,Fabulous Fawn,BIC-01,LRV 57,"['R 229', 'G 193', 'B 163']",Orange color family,background-color:#E5C1A3;
21,Hazy Taupe,BIC-02,LRV 56,"['R 213', 'G 195', 'B 181']",Orange color family,background-color:#D5C3B5;
22,Veronese Peach,BIC-03,LRV 58,"['R 236', 'G 191', 'B 168']",Orange color family,background-color:#ECBFA8;
23,Pink Taffy,BIC-04,LRV 58,"['R 239', 'G 188', 'B 182']",Red color family,background-color:#EFBCB6;
24,Shabby Chic Pink,BIC-05,LRV 75,"['R 239', 'G 221', 'B 214']",Red color family,background-color:#EFDDD6;
25,Desert Lights,BIC-06,LRV 37,"['R 189', 'G 156', 'B 157']",Neutral color family,background-color:#BD9C9D;
26,Virtuous Violet,BIC-07,LRV 45,"['R 183', 'G 176', 'B 191']",Red color family,background-color:#B7B0BF;
27,Sweet Lavender,BIC-08,LRV 60,"['R 199', 'G 204', 'B 219']",Purple color family,background-color:#C7CCDB;
28,Caribbean Sky,BIC-09,LRV 33,"['R 129', 'G 158', 'B 203']",Purple color family,background-color:#819ECB;
29,Cotton Denim,BIC-10,LRV 39,"['R 145', 'G 171', 'B 190']",Purple color family,background-color:#91ABBE;
