,Category,Value,Group,Name
0,Historic Color,1544,1,Interior
1,Historic Color,1545,1,Interior
2,Historic Color,1546,1,Interior
3,Historic Color,1547,1,Interior
4,Historic Color,1548,1,Interior
5,Historic Color,1549,1,Interior
6,Historic Color,1550,1,Interior
7,Historic Color,1551,1,Interior
8,Historic Color,1552,1,Interior
9,Historic Color,1553,1,Interior
10,Historic Color,1554,1,Interior
11,Historic Color,1555,1,Interior
12,Historic Color,1556,1,Interior
13,Historic Color,1557,1,Interior
14,Historic Color,1558,1,Interior
15,Historic Color,1559,1,Interior
16,Historic Color,1560,1,Interior
17,Historic Color,1561,1,Interior
18,Historic Color,1562,1,Interior
19,Historic Color,1563,1,Interior
20,Historic Color,1564,1,Interior
21,Historic Color,1565,1,Interior
22,Historic Color,1566,1,Interior
23,Historic Color,1567,1,Interior
24,Historic Color,1568,1,Interior
25,Historic Color,1569,1,Interior
26,Historic Color,1570,1,Interior
27,Historic Color,1571,1,Interior
28,Historic Color,1572,1,Interior
29,Historic Color,1573,1,Interior
30,Historic Color,1574,1,Interior
31,Historic Color,1575,1,Interior
32,Historic Color,1576,1,Interior
33,Historic Color,1577,1,Interior
34,Historic Color,1578,1,Interior
35,Historic Color,1579,1,Interior
36,Historic Color,1580,1,Interior
37,Historic Color,1581,1,Interior
38,Historic Color,1582,1,Interior
39,Historic Color,1583,1,Interior
40,Historic Color,1584,1,Interior
41,Historic Color,1585,1,Interior
42,Historic Color,1586,1,Interior
43,Historic Color,1587,1,Interior
44,Historic Color,1588,1,Interior
45,Historic Color,1589,1,Interior
46,Historic Color,1590,1,Interior
47,Historic Color,1591,1,Interior
48,Historic Color,1592,1,Interior
49,Historic Color,1593,1,Interior
50,Historic Color,1594,1,Interior
51,Historic Color,1595,1,Interior
52,Historic Color,1596,1,Interior
53,Historic Color,1597,1,Interior
54,Historic Color,1598,1,Interior
55,Historic Color,1599,1,Interior
56,Historic Color,1600,1,Interior
57,Historic Color,1601,1,Interior
58,Historic Color,1602,1,Interior
59,Historic Color,1603,1,Interior
60,Historic Color,1604,1,Interior
61,Historic Color,1605,1,Interior
62,Historic Color,1606,1,Interior
63,Historic Color,1607,1,Interior
64,Historic Color,1608,1,Interior
65,Historic Color,1609,1,Interior
