,id,name,category,collection,hex,lrv,link
0,7006-24,Ultra White,White,Popular,#f8f8f3,93.586,valspar.com//en/colors/browse-colors/lowes/white/ultra-white-7006-24
1,V148,New Ream,White,Popular,#f6f6f1,91.591,valspar.com//en/colors/browse-colors/independent-retailers/white/new-ream-v148
2,V152,Gauzy White,White,,#f7f5eb,91.026,valspar.com//en/colors/browse-colors/independent-retailers/white/gauzy-white-v152
3,8007-6F,Cuddle Down,White,,#f5f5ef,91.0,valspar.com//en/colors/browse-colors/lowes/white/cuddle-down-8007-6f
4,8007-5A,Ewe,White,,#f6f5eb,91.0,valspar.com//en/colors/browse-colors/lowes/white/ewe-8007-5a
5,8007-4A,Ivory Keys,White,,#f7f4eb,91.0,valspar.com//en/colors/browse-colors/lowes/white/ivory-keys-8007-4a
6,7005-16,Betsy's Linen,White,,#f8f4e5,90.054,valspar.com//en/colors/browse-colors/lowes/white/betsys-linen-7005-16
7,8007-8G,Line Dried,White,,#f9f4de,90.0,valspar.com//en/colors/browse-colors/lowes/white/line-dried-8007-8g
8,8007-8C,Abel,White,,#f8f3e6,90.0,valspar.com//en/colors/browse-colors/lowes/white/abel-8007-8c
9,8007-6E,Santa's Beard,White,,#f3f2ed,89.0,valspar.com//en/colors/browse-colors/lowes/white/santas-beard-8007-6e
10,8007-5D,Sunbeam,White,,#f2f4ea,89.0,valspar.com//en/colors/browse-colors/lowes/white/sunbeam-8007-5d
11,8007-2B,Tell Me a Secret,White,,#f0f3f0,89.0,valspar.com//en/colors/browse-colors/lowes/white/tell-me-a-secret-8007-2b
12,V150,Santa's Beard,White,,#f3f2ed,88.789,valspar.com//en/colors/browse-colors/independent-retailers/white/santas-beard-v150
13,8007-5C,Cravat,White,,#f3f1e4,88.0,valspar.com//en/colors/browse-colors/lowes/white/cravat-8007-5c
14,T660,Crème de la Crème,White,The Classic Collection,#f5f1e3,87.811,valspar.com//en/colors/browse-colors/independent-retailers/white/creme-de-la-creme-t660
15,7003-23,Lemon Edge,White,,#f5f1e2,87.737,valspar.com//en/colors/browse-colors/lowes/white/lemon-edge-7003-23
16,V016-1,Cream Puff,Yellow,,#fcf0cd,87.551,valspar.com//en/colors/browse-colors/independent-retailers/yellow/cream-puff-v016-1
17,M142,Halogen,White,The Natural Collection,#f8efe2,87.008,valspar.com//en/colors/browse-colors/independent-retailers/white/halogen-m142
18,8007-5E,Morning Breeze,White,,#f0f1e7,87.0,valspar.com//en/colors/browse-colors/lowes/white/morning-breeze-8007-5e
19,8007-11A,Halogen,White,,#f8efe2,87.0,valspar.com//en/colors/browse-colors/lowes/white/halogen-8007-11a
20,7007-4,Crisp Cotton,White,,#f4efe7,87.0,valspar.com//en/colors/browse-colors/lowes/white/crisp-cotton-7007-4
21,8007-8B,Warm Milk,White,Popular,#f6f0e2,87.0,valspar.com//en/colors/browse-colors/lowes/white/warm-milk-8007-8b
22,7001-21,Naivete,White,,#f7eeea,86.693,valspar.com//en/colors/browse-colors/lowes/white/naivete-7001-21
23,3007-2C,Summer Morning,Yellow,,#fbefc6,86.572,valspar.com//en/colors/browse-colors/lowes/yellow/summer-morning-3007-2c
24,3001-2C,Champagne Tickle,Yellow,Popular,#fdeecf,86.498,valspar.com//en/colors/browse-colors/lowes/yellow/champagne-tickle-3001-2c
25,V151,Wedding Cake,White,,#f2efe6,86.463,valspar.com//en/colors/browse-colors/independent-retailers/white/wedding-cake-v151
26,7002-16,Swiss Coffee,White,Popular,#f1efe7,86.152,valspar.com//en/colors/browse-colors/lowes/white/swiss-coffee-7002-16
